,Date,Last Price
594,2010-06-28,29.0
595,2010-06-29,34.13
596,2010-06-30,34.54
597,2010-07-01,32.86
598,2010-07-02,30.12
599,2010-07-06,29.65
600,2010-07-07,26.84
601,2010-07-08,25.71
602,2010-07-09,24.98
603,2010-07-12,24.43
604,2010-07-13,24.56
605,2010-07-14,24.89
606,2010-07-15,25.14
607,2010-07-16,26.25
608,2010-07-19,25.97
609,2010-07-20,23.93
610,2010-07-21,25.64
611,2010-07-22,24.63
612,2010-07-23,23.47
613,2010-07-26,22.73
614,2010-07-27,23.19
615,2010-07-28,24.25
616,2010-07-29,24.13
617,2010-07-30,23.5
618,2010-08-02,22.01
619,2010-08-03,22.63
620,2010-08-04,22.21
621,2010-08-05,22.1
622,2010-08-06,21.74
623,2010-08-09,22.14
624,2010-08-10,22.37
625,2010-08-11,25.39
626,2010-08-12,25.73
627,2010-08-13,26.24
628,2010-08-16,26.1
629,2010-08-17,24.33
630,2010-08-18,24.59
631,2010-08-19,26.44
632,2010-08-20,25.49
633,2010-08-23,25.66
634,2010-08-24,27.46
635,2010-08-25,26.7
636,2010-08-26,27.37
637,2010-08-27,24.45
638,2010-08-30,27.21
639,2010-08-31,26.05
640,2010-09-01,23.89
641,2010-09-02,23.19
642,2010-09-03,21.31
643,2010-09-07,23.8
644,2010-09-08,23.25
645,2010-09-09,22.81
646,2010-09-10,21.99
647,2010-09-13,21.21
648,2010-09-14,21.56
649,2010-09-15,22.1
650,2010-09-16,21.72
651,2010-09-17,22.01
652,2010-09-20,21.5
653,2010-09-21,22.35
654,2010-09-22,22.51
655,2010-09-23,23.87
656,2010-09-24,21.71
657,2010-09-27,22.54
658,2010-09-28,22.6
659,2010-09-29,23.25
660,2010-09-30,23.7
661,2010-10-01,22.5
662,2010-10-04,23.53
663,2010-10-05,21.76
664,2010-10-06,21.49
665,2010-10-07,21.56
666,2010-10-08,20.71
667,2010-10-11,18.96
668,2010-10-12,18.93
669,2010-10-13,19.07
670,2010-10-14,19.88
671,2010-10-15,19.03
672,2010-10-18,19.09
673,2010-10-19,20.63
674,2010-10-20,19.79
675,2010-10-21,19.27
676,2010-10-22,18.78
677,2010-10-25,19.85
678,2010-10-26,20.22
679,2010-10-27,20.71
680,2010-10-28,20.88
681,2010-10-29,21.2
682,2010-11-01,21.83
683,2010-11-02,21.57
684,2010-11-03,19.56
685,2010-11-04,18.52
686,2010-11-05,18.26
687,2010-11-08,18.29
688,2010-11-09,19.08
689,2010-11-10,18.47
690,2010-11-11,18.64
691,2010-11-12,20.61
692,2010-11-15,20.2
693,2010-11-16,22.58
694,2010-11-17,21.76
695,2010-11-18,18.75
696,2010-11-19,18.04
697,2010-11-22,18.37
